"Commune","User","Status","Numéro","Type","Prix","Date","Actions"
"Kédougou","#KGKG3-12","expiré","ADB53F3F","bus et 4/4","1000","2022-02-18 04:46",""
"Kédougou","#KGKG3-12","expiré","44D5E01E","Camion gros porteur 10t","2000","2022-02-18 04:46",""
"Kédougou","#KGKG3-12","expiré","20626BE5","bus et 4/4","1000","2022-02-18 05:45",""
"Kédougou","#KGKG3-12","expiré","6F5F8327","bus et 4/4","1000","2022-02-18 06:07",""
"Kédougou","#KGKG3-12","expiré","402DA1E8","bus et 4/4","1000","2022-02-18 06:29",""
"Kédougou","#KGKG3-12","expiré","5581E7F0","bus et 4/4","1000","2022-02-18 06:31",""
"Kédougou","#KGKG3-12","expiré","5375B28C","bus et 4/4","1000","2022-02-18 06:31",""
"Kédougou","#KGKG3-12","expiré","723C8E8C","bus et 4/4","1000","2022-02-18 06:32",""
"Kédougou","#KGKG3-12","expiré","6062F195","bus et 4/4","1000","2022-02-18 06:33",""
"Kédougou","#KGKG3-12","expiré","54D22BEA","bus et 4/4","1000","2022-02-18 06:34",""
"Kédougou","#KGKG3-12","expiré","1A7E91EB","bus et 4/4","1000","2022-02-18 06:34",""
"Kédougou","#KGKG3-12","expiré","CF2A146F","bus et 4/4","1000","2022-02-18 06:36",""
"Kédougou","#KGKG3-12","expiré","1ACC314","bus et 4/4","1000","2022-02-18 06:38",""
"Kédougou","#KGKG3-12","expiré","B6AE7964","bus et 4/4","1000","2022-02-18 06:45",""
"Kédougou","#KGKG3-12","expiré","98B9A655","bus et 4/4","1000","2022-02-18 06:48",""
"Kédougou","#KGKG3-12","expiré","121C5DF4","bus et 4/4","1000","2022-02-18 06:56",""
"Kédougou","#KGKG3-12","expiré","AA939160","bus et 4/4","1000","2022-02-18 07:02",""
"Kédougou","#KGKG3-12","expiré","2406CFCB","bus et 4/4","1000","2022-02-18 07:57",""
"Kédougou","#KGKG3-12","expiré","76326AAE","bus et 4/4","1000","2022-02-18 08:07",""
"Kédougou","#KGKG3-12","expiré","88EE17D","bus et 4/4","1000","2022-02-18 08:12",""
"Kédougou","#KGKG3-12","expiré","B6540EC8","bus et 4/4","1000","2022-02-18 08:12",""
"Kédougou","#KGKG3-12","expiré","BBB61333","bus et 4/4","1000","2022-02-18 08:14",""
